"accion"
"advertencia"
"caja"
"cambiospadron"
"caracteristicacliente"
"caracteristicaclientexpadron"
"caracteristicas_x_item"
"constantes"
"cuentacorriente"
"dependencia"
"dependenciaxpadron"
"equipo"
"estadotarjeta"
"filtro"
"filtroxproducto"
"importarte"
"impresora"
"item"
"item_caracteristicas"
"localidad"
"lote"
"migracion"
"movimiento"
"padron"
"preciotipocliente"
"producto"
"productoxunidadgestion"
"rango"
"sedes"
"tarjeta"
"tarjeta_estado"
"tipocliente"
"tipoclientexpadron"
"tipodocumento"
"tipomovimiento"
"unidadgestion"
